0.000000 0.000000 0.000000,0.000000 0.000000 0.000000,0.000000 0.000000 0.000000,0.000000 0.000000 0.000000,0.000000 0.000000 0.000000,
0.037500 0.000000 0.050000,0.337500 0.000000 0.450000,0.637500 0.000000 0.850000,0.937500 0.000000 1.250000,1.237500 0.000000 1.650000,1.537500 0.000000 2.050000,1.837500 0.000000 2.450000,2.137500 0.000000 2.850000,2.437500 0.000000 3.250000,3.000000 0.000000 4.000000,
0.037500 0.012500 -0.050000,0.337500 0.112500 -0.450000,0.637500 0.212500 -0.850000,0.937500 0.312500 -1.250000,1.237500 0.412500 -1.650000,1.537500 0.512500 -2.050000,1.837500 0.612500 -2.450000,2.137500 0.712500 -2.850000,2.437500 0.812500 -3.250000,2.962500 0.987500 -3.950000,
0.037500 0.012500 -0.037500,0.412500 0.137500 -0.412500,0.787500 0.262500 -0.787500,1.162500 0.387500 -1.162500,1.537500 0.512500 -1.537500,1.912500 0.637500 -1.912500,2.287500 0.762500 -2.287500,2.662500 0.887500 -2.662500,3.037500 1.012500 -3.037500,3.450000 1.150000 -3.450000,
0.037500 0.012500 -0.025000,0.450000 0.150000 -0.300000,0.862500 0.287500 -0.575000,1.275000 0.425000 -0.850000,1.687500 0.562500 -1.125000,2.100000 0.700000 -1.400000,2.512500 0.837500 -1.675000,2.925000 0.975000 -1.950000,3.337500 1.112500 -2.225000,4.012500 1.337500 -2.675000,
0.037500 0.012500 -0.012500,0.525000 0.175000 -0.175000,1.012500 0.337500 -0.337500,1.500000 0.500000 -0.500000,1.987500 0.662500 -0.662500,2.475000 0.825000 -0.825000,2.962500 0.987500 -0.987500,3.450000 1.150000 -1.150000,3.937500 1.312500 -1.312500,4.537500 1.512500 -1.512500,
0.037500 0.012500 0.000000,0.525000 0.175000 0.000000,1.012500 0.337500 0.000000,1.500000 0.500000 0.000000,1.987500 0.662500 0.000000,2.475000 0.825000 0.000000,2.962500 0.987500 0.000000,3.450000 1.150000 0.000000,3.937500 1.312500 0.000000,4.762500 1.587500 0.000000,
0.037500 0.012500 0.012500,0.525000 0.175000 0.175000,1.012500 0.337500 0.337500,1.500000 0.500000 0.500000,1.987500 0.662500 0.662500,2.475000 0.825000 0.825000,2.962500 0.987500 0.987500,3.450000 1.150000 1.150000,3.937500 1.312500 1.312500,4.537500 1.512500 1.512500,
0.037500 0.012500 0.025000,0.450000 0.150000 0.300000,0.862500 0.287500 0.575000,1.275000 0.425000 0.850000,1.687500 0.562500 1.125000,2.100000 0.700000 1.400000,2.512500 0.837500 1.675000,2.925000 0.975000 1.950000,3.337500 1.112500 2.225000,4.012500 1.337500 2.675000,
0.037500 0.012500 0.037500,0.412500 0.137500 0.412500,0.787500 0.262500 0.787500,1.162500 0.387500 1.162500,1.537500 0.512500 1.537500,1.912500 0.637500 1.912500,2.287500 0.762500 2.287500,2.662500 0.887500 2.662500,3.037500 1.012500 3.037500,3.450000 1.150000 3.450000,
0.037500 0.012500 0.050000,0.337500 0.112500 0.450000,0.637500 0.212500 0.850000,0.937500 0.312500 1.250000,1.237500 0.412500 1.650000,1.537500 0.512500 2.050000,1.837500 0.612500 2.450000,2.137500 0.712500 2.850000,2.437500 0.812500 3.250000,2.962500 0.987500 3.950000,
0.037500 0.025000 -0.050000,0.337500 0.225000 -0.450000,0.637500 0.425000 -0.850000,0.937500 0.625000 -1.250000,1.237500 0.825000 -1.650000,1.537500 1.025000 -2.050000,1.837500 1.225000 -2.450000,2.137500 1.425000 -2.850000,2.437500 1.625000 -3.250000,2.812500 1.875000 -3.750000,
0.037500 0.025000 -0.037500,0.375000 0.250000 -0.375000,0.712500 0.475000 -0.712500,1.050000 0.700000 -1.050000,1.387500 0.925000 -1.387500,1.725000 1.150000 -1.725000,2.062500 1.375000 -2.062500,2.400000 1.600000 -2.400000,2.737500 1.825000 -2.737500,3.225000 2.150000 -3.225000,
0.037500 0.025000 -0.025000,0.412500 0.275000 -0.275000,0.787500 0.525000 -0.525000,1.162500 0.775000 -0.775000,1.537500 1.025000 -1.025000,1.912500 1.275000 -1.275000,2.287500 1.525000 -1.525000,2.662500 1.775000 -1.775000,3.037500 2.025000 -2.025000,3.675000 2.450000 -2.450000,
0.037500 0.025000 -0.012500,0.450000 0.300000 -0.150000,0.862500 0.575000 -0.287500,1.275000 0.850000 -0.425000,1.687500 1.125000 -0.562500,2.100000 1.400000 -0.700000,2.512500 1.675000 -0.837500,2.925000 1.950000 -0.975000,3.337500 2.225000 -1.112500,4.012500 2.675000 -1.337500,
0.037500 0.025000 0.000000,0.487500 0.325000 0.000000,0.937500 0.625000 0.000000,1.387500 0.925000 0.000000,1.837500 1.225000 0.000000,2.287500 1.525000 0.000000,2.737500 1.825000 0.000000,3.187500 2.125000 0.000000,3.637500 2.425000 0.000000,4.162500 2.775000 0.000000,
0.037500 0.025000 0.012500,0.450000 0.300000 0.150000,0.862500 0.575000 0.287500,1.275000 0.850000 0.425000,1.687500 1.125000 0.562500,2.100000 1.400000 0.700000,2.512500 1.675000 0.837500,2.925000 1.950000 0.975000,3.337500 2.225000 1.112500,4.012500 2.675000 1.337500,
0.037500 0.025000 0.025000,0.412500 0.275000 0.275000,0.787500 0.525000 0.525000,1.162500 0.775000 0.775000,1.537500 1.025000 1.025000,1.912500 1.275000 1.275000,2.287500 1.525000 1.525000,2.662500 1.775000 1.775000,3.037500 2.025000 2.025000,3.675000 2.450000 2.450000,
0.037500 0.025000 0.037500,0.375000 0.250000 0.375000,0.712500 0.475000 0.712500,1.050000 0.700000 1.050000,1.387500 0.925000 1.387500,1.725000 1.150000 1.725000,2.062500 1.375000 2.062500,2.400000 1.600000 2.400000,2.737500 1.825000 2.737500,3.225000 2.150000 3.225000,
0.037500 0.025000 0.050000,0.337500 0.225000 0.450000,0.637500 0.425000 0.850000,0.937500 0.625000 1.250000,1.237500 0.825000 1.650000,1.537500 1.025000 2.050000,1.837500 1.225000 2.450000,2.137500 1.425000 2.850000,2.437500 1.625000 3.250000,2.812500 1.875000 3.750000,
0.050000 -0.025000 -0.050000,0.400000 -0.200000 -0.400000,0.750000 -0.375000 -0.750000,1.100000 -0.550000 -1.100000,1.450000 -0.725000 -1.450000,1.800000 -0.900000 -1.800000,2.150000 -1.075000 -2.150000,2.500000 -1.250000 -2.500000,2.850000 -1.425000 -2.850000,3.350000 -1.675000 -3.350000,
0.050000 -0.025000 -0.037500,0.450000 -0.225000 -0.337500,0.850000 -0.425000 -0.637500,1.250000 -0.625000 -0.937500,1.650000 -0.825000 -1.237500,2.050000 -1.025000 -1.537500,2.450000 -1.225000 -1.837500,2.850000 -1.425000 -2.137500,3.250000 -1.625000 -2.437500,3.750000 -1.875000 -2.812500,
0.050000 -0.025000 -0.025000,0.500000 -0.250000 -0.250000,0.950000 -0.475000 -0.475000,1.400000 -0.700000 -0.700000,1.850000 -0.925000 -0.925000,2.300000 -1.150000 -1.150000,2.750000 -1.375000 -1.375000,3.200000 -1.600000 -1.600000,3.650000 -1.825000 -1.825000,4.100000 -2.050000 -2.050000,
0.050000 -0.025000 -0.012500,0.500000 -0.250000 -0.125000,0.950000 -0.475000 -0.237500,1.400000 -0.700000 -0.350000,1.850000 -0.925000 -0.462500,2.300000 -1.150000 -0.575000,2.750000 -1.375000 -0.687500,3.200000 -1.600000 -0.800000,3.650000 -1.825000 -0.912500,4.400000 -2.200000 -1.100000,
0.050000 -0.025000 0.000000,0.500000 -0.250000 0.000000,0.950000 -0.475000 0.000000,1.400000 -0.700000 0.000000,1.850000 -0.925000 0.000000,2.300000 -1.150000 0.000000,2.750000 -1.375000 0.000000,3.200000 -1.600000 0.000000,3.650000 -1.825000 0.000000,4.500000 -2.250000 0.000000,
0.050000 -0.025000 0.012500,0.500000 -0.250000 0.125000,0.950000 -0.475000 0.237500,1.400000 -0.700000 0.350000,1.850000 -0.925000 0.462500,2.300000 -1.150000 0.575000,2.750000 -1.375000 0.687500,3.200000 -1.600000 0.800000,3.650000 -1.825000 0.912500,4.400000 -2.200000 1.100000,
0.050000 -0.025000 0.025000,0.500000 -0.250000 0.250000,0.950000 -0.475000 0.475000,1.400000 -0.700000 0.700000,1.850000 -0.925000 0.925000,2.300000 -1.150000 1.150000,2.750000 -1.375000 1.375000,3.200000 -1.600000 1.600000,3.650000 -1.825000 1.825000,4.100000 -2.050000 2.050000,
0.050000 -0.025000 0.037500,0.450000 -0.225000 0.337500,0.850000 -0.425000 0.637500,1.250000 -0.625000 0.937500,1.650000 -0.825000 1.237500,2.050000 -1.025000 1.537500,2.450000 -1.225000 1.837500,2.850000 -1.425000 2.137500,3.250000 -1.625000 2.437500,3.750000 -1.875000 2.812500,
0.050000 -0.025000 0.050000,0.400000 -0.200000 0.400000,0.750000 -0.375000 0.750000,1.100000 -0.550000 1.100000,1.450000 -0.725000 1.450000,1.800000 -0.900000 1.800000,2.150000 -1.075000 2.150000,2.500000 -1.250000 2.500000,2.850000 -1.425000 2.850000,3.350000 -1.675000 3.350000,
0.050000 -0.012500 -0.050000,0.400000 -0.100000 -0.400000,0.750000 -0.187500 -0.750000,1.100000 -0.275000 -1.100000,1.450000 -0.362500 -1.450000,1.800000 -0.450000 -1.800000,2.150000 -0.537500 -2.150000,2.500000 -0.625000 -2.500000,2.850000 -0.712500 -2.850000,3.500000 -0.875000 -3.500000,
0.050000 -0.012500 -0.037500,0.450000 -0.112500 -0.337500,0.850000 -0.212500 -0.637500,1.250000 -0.312500 -0.937500,1.650000 -0.412500 -1.237500,2.050000 -0.512500 -1.537500,2.450000 -0.612500 -1.837500,2.850000 -0.712500 -2.137500,3.250000 -0.812500 -2.437500,3.950000 -0.987500 -2.962500,
0.050000 -0.012500 -0.025000,0.500000 -0.125000 -0.250000,0.950000 -0.237500 -0.475000,1.400000 -0.350000 -0.700000,1.850000 -0.462500 -0.925000,2.300000 -0.575000 -1.150000,2.750000 -0.687500 -1.375000,3.200000 -0.800000 -1.600000,3.650000 -0.912500 -1.825000,4.400000 -1.100000 -2.200000,
0.050000 -0.012500 -0.012500,0.550000 -0.137500 -0.137500,1.050000 -0.262500 -0.262500,1.550000 -0.387500 -0.387500,2.050000 -0.512500 -0.512500,2.550000 -0.637500 -0.637500,3.050000 -0.762500 -0.762500,3.550000 -0.887500 -0.887500,4.050000 -1.012500 -1.012500,4.750000 -1.187500 -1.187500,
0.050000 -0.012500 0.000000,0.550000 -0.137500 0.000000,1.050000 -0.262500 0.000000,1.550000 -0.387500 0.000000,2.050000 -0.512500 0.000000,2.550000 -0.637500 0.000000,3.050000 -0.762500 0.000000,3.550000 -0.887500 0.000000,4.050000 -1.012500 0.000000,4.900000 -1.225000 0.000000,
0.050000 -0.012500 0.012500,0.550000 -0.137500 0.137500,1.050000 -0.262500 0.262500,1.550000 -0.387500 0.387500,2.050000 -0.512500 0.512500,2.550000 -0.637500 0.637500,3.050000 -0.762500 0.762500,3.550000 -0.887500 0.887500,4.050000 -1.012500 1.012500,4.750000 -1.187500 1.187500,
0.050000 -0.012500 0.025000,0.500000 -0.125000 0.250000,0.950000 -0.237500 0.475000,1.400000 -0.350000 0.700000,1.850000 -0.462500 0.925000,2.300000 -0.575000 1.150000,2.750000 -0.687500 1.375000,3.200000 -0.800000 1.600000,3.650000 -0.912500 1.825000,4.400000 -1.100000 2.200000,
0.050000 -0.012500 0.037500,0.450000 -0.112500 0.337500,0.850000 -0.212500 0.637500,1.250000 -0.312500 0.937500,1.650000 -0.412500 1.237500,2.050000 -0.512500 1.537500,2.450000 -0.612500 1.837500,2.850000 -0.712500 2.137500,3.250000 -0.812500 2.437500,3.950000 -0.987500 2.962500,
0.050000 -0.012500 0.050000,0.400000 -0.100000 0.400000,0.750000 -0.187500 0.750000,1.100000 -0.275000 1.100000,1.450000 -0.362500 1.450000,1.800000 -0.450000 1.800000,2.150000 -0.537500 2.150000,2.500000 -0.625000 2.500000,2.850000 -0.712500 2.850000,3.500000 -0.875000 3.500000,
0.050000 0.000000 -0.050000,0.450000 0.000000 -0.450000,0.850000 0.000000 -0.850000,1.250000 0.000000 -1.250000,1.650000 0.000000 -1.650000,2.050000 0.000000 -2.050000,2.450000 0.000000 -2.450000,2.850000 0.000000 -2.850000,3.250000 0.000000 -3.250000,3.550000 0.000000 -3.550000,
0.050000 0.000000 -0.037500,0.450000 0.000000 -0.337500,0.850000 0.000000 -0.637500,1.250000 0.000000 -0.937500,1.650000 0.000000 -1.237500,2.050000 0.000000 -1.537500,2.450000 0.000000 -1.837500,2.850000 0.000000 -2.137500,3.250000 0.000000 -2.437500,4.000000 0.000000 -3.000000,
0.050000 0.000000 -0.025000,0.500000 0.000000 -0.250000,0.950000 0.000000 -0.475000,1.400000 0.000000 -0.700000,1.850000 0.000000 -0.925000,2.300000 0.000000 -1.150000,2.750000 0.000000 -1.375000,3.200000 0.000000 -1.600000,3.650000 0.000000 -1.825000,4.500000 0.000000 -2.250000,
0.050000 0.000000 -0.012500,0.550000 0.000000 -0.137500,1.050000 0.000000 -0.262500,1.550000 0.000000 -0.387500,2.050000 0.000000 -0.512500,2.550000 0.000000 -0.637500,3.050000 0.000000 -0.762500,3.550000 0.000000 -0.887500,4.050000 0.000000 -1.012500,4.900000 0.000000 -1.225000,
0.050000 0.000000 0.000000,0.600000 0.000000 0.000000,1.150000 0.000000 0.000000,1.700000 0.000000 0.000000,2.250000 0.000000 0.000000,2.800000 0.000000 0.000000,3.350000 0.000000 0.000000,3.900000 0.000000 0.000000,4.450000 0.000000 0.000000,5.050000 0.000000 0.000000,
0.050000 0.000000 0.012500,0.550000 0.000000 0.137500,1.050000 0.000000 0.262500,1.550000 0.000000 0.387500,2.050000 0.000000 0.512500,2.550000 0.000000 0.637500,3.050000 0.000000 0.762500,3.550000 0.000000 0.887500,4.050000 0.000000 1.012500,4.900000 0.000000 1.225000,
0.050000 0.000000 0.025000,0.500000 0.000000 0.250000,0.950000 0.000000 0.475000,1.400000 0.000000 0.700000,1.850000 0.000000 0.925000,2.300000 0.000000 1.150000,2.750000 0.000000 1.375000,3.200000 0.000000 1.600000,3.650000 0.000000 1.825000,4.500000 0.000000 2.250000,
0.050000 0.000000 0.037500,0.450000 0.000000 0.337500,0.850000 0.000000 0.637500,1.250000 0.000000 0.937500,1.650000 0.000000 1.237500,2.050000 0.000000 1.537500,2.450000 0.000000 1.837500,2.850000 0.000000 2.137500,3.250000 0.000000 2.437500,4.000000 0.000000 3.000000,
0.050000 0.000000 0.050000,0.450000 0.000000 0.450000,0.850000 0.000000 0.850000,1.250000 0.000000 1.250000,1.650000 0.000000 1.650000,2.050000 0.000000 2.050000,2.450000 0.000000 2.450000,2.850000 0.000000 2.850000,3.250000 0.000000 3.250000,3.550000 0.000000 3.550000,
0.050000 0.012500 -0.050000,0.400000 0.100000 -0.400000,0.750000 0.187500 -0.750000,1.100000 0.275000 -1.100000,1.450000 0.362500 -1.450000,1.800000 0.450000 -1.800000,2.150000 0.537500 -2.150000,2.500000 0.625000 -2.500000,2.850000 0.712500 -2.850000,3.500000 0.875000 -3.500000,
0.050000 0.012500 -0.037500,0.450000 0.112500 -0.337500,0.850000 0.212500 -0.637500,1.250000 0.312500 -0.937500,1.650000 0.412500 -1.237500,2.050000 0.512500 -1.537500,2.450000 0.612500 -1.837500,2.850000 0.712500 -2.137500,3.250000 0.812500 -2.437500,3.950000 0.987500 -2.962500,
0.050000 0.012500 -0.025000,0.500000 0.125000 -0.250000,0.950000 0.237500 -0.475000,1.400000 0.350000 -0.700000,1.850000 0.462500 -0.925000,2.300000 0.575000 -1.150000,2.750000 0.687500 -1.375000,3.200000 0.800000 -1.600000,3.650000 0.912500 -1.825000,4.400000 1.100000 -2.200000,
0.050000 0.012500 -0.012500,0.550000 0.137500 -0.137500,1.050000 0.262500 -0.262500,1.550000 0.387500 -0.387500,2.050000 0.512500 -0.512500,2.550000 0.637500 -0.637500,3.050000 0.762500 -0.762500,3.550000 0.887500 -0.887500,4.050000 1.012500 -1.012500,4.750000 1.187500 -1.187500,
0.050000 0.012500 0.000000,0.550000 0.137500 0.000000,1.050000 0.262500 0.000000,1.550000 0.387500 0.000000,2.050000 0.512500 0.000000,2.550000 0.637500 0.000000,3.050000 0.762500 0.000000,3.550000 0.887500 0.000000,4.050000 1.012500 0.000000,4.900000 1.225000 0.000000,
0.050000 0.012500 0.012500,0.550000 0.137500 0.137500,1.050000 0.262500 0.262500,1.550000 0.387500 0.387500,2.050000 0.512500 0.512500,2.550000 0.637500 0.637500,3.050000 0.762500 0.762500,3.550000 0.887500 0.887500,4.050000 1.012500 1.012500,4.750000 1.187500 1.187500,
0.050000 0.012500 0.025000,0.500000 0.125000 0.250000,0.950000 0.237500 0.475000,1.400000 0.350000 0.700000,1.850000 0.462500 0.925000,2.300000 0.575000 1.150000,2.750000 0.687500 1.375000,3.200000 0.800000 1.600000,3.650000 0.912500 1.825000,4.400000 1.100000 2.200000,
0.050000 0.012500 0.037500,0.450000 0.112500 0.337500,0.850000 0.212500 0.637500,1.250000 0.312500 0.937500,1.650000 0.412500 1.237500,2.050000 0.512500 1.537500,2.450000 0.612500 1.837500,2.850000 0.712500 2.137500,3.250000 0.812500 2.437500,3.950000 0.987500 2.962500,
0.050000 0.012500 0.050000,0.400000 0.100000 0.400000,0.750000 0.187500 0.750000,1.100000 0.275000 1.100000,1.450000 0.362500 1.450000,1.800000 0.450000 1.800000,2.150000 0.537500 2.150000,2.500000 0.625000 2.500000,2.850000 0.712500 2.850000,3.500000 0.875000 3.500000,
0.050000 0.025000 -0.050000,0.400000 0.200000 -0.400000,0.750000 0.375000 -0.750000,1.100000 0.550000 -1.100000,1.450000 0.725000 -1.450000,1.800000 0.900000 -1.800000,2.150000 1.075000 -2.150000,2.500000 1.250000 -2.500000,2.850000 1.425000 -2.850000,3.350000 1.675000 -3.350000,
0.050000 0.025000 -0.037500,0.450000 0.225000 -0.337500,0.850000 0.425000 -0.637500,1.250000 0.625000 -0.937500,1.650000 0.825000 -1.237500,2.050000 1.025000 -1.537500,2.450000 1.225000 -1.837500,2.850000 1.425000 -2.137500,3.250000 1.625000 -2.437500,3.750000 1.875000 -2.812500,
0.050000 0.025000 -0.025000,0.500000 0.250000 -0.250000,0.950000 0.475000 -0.475000,1.400000 0.700000 -0.700000,1.850000 0.925000 -0.925000,2.300000 1.150000 -1.150000,2.750000 1.375000 -1.375000,3.200000 1.600000 -1.600000,3.650000 1.825000 -1.825000,4.100000 2.050000 -2.050000,
0.050000 0.025000 -0.012500,0.500000 0.250000 -0.125000,0.950000 0.475000 -0.237500,1.400000 0.700000 -0.350000,1.850000 0.925000 -0.462500,2.300000 1.150000 -0.575000,2.750000 1.375000 -0.687500,3.200000 1.600000 -0.800000,3.650000 1.825000 -0.912500,4.400000 2.200000 -1.100000,
0.050000 0.025000 0.000000,0.500000 0.250000 0.000000,0.950000 0.475000 0.000000,1.400000 0.700000 0.000000,1.850000 0.925000 0.000000,2.300000 1.150000 0.000000,2.750000 1.375000 0.000000,3.200000 1.600000 0.000000,3.650000 1.825000 0.000000,4.500000 2.250000 0.000000,
0.050000 0.025000 0.012500,0.500000 0.250000 0.125000,0.950000 0.475000 0.237500,1.400000 0.700000 0.350000,1.850000 0.925000 0.462500,2.300000 1.150000 0.575000,2.750000 1.375000 0.687500,3.200000 1.600000 0.800000,3.650000 1.825000 0.912500,4.400000 2.200000 1.100000,
0.050000 0.025000 0.025000,0.500000 0.250000 0.250000,0.950000 0.475000 0.475000,1.400000 0.700000 0.700000,1.850000 0.925000 0.925000,2.300000 1.150000 1.150000,2.750000 1.375000 1.375000,3.200000 1.600000 1.600000,3.650000 1.825000 1.825000,4.100000 2.050000 2.050000,
0.050000 0.025000 0.037500,0.450000 0.225000 0.337500,0.850000 0.425000 0.637500,1.250000 0.625000 0.937500,1.650000 0.825000 1.237500,2.050000 1.025000 1.537500,2.450000 1.225000 1.837500,2.850000 1.425000 2.137500,3.250000 1.625000 2.437500,3.750000 1.875000 2.812500,
0.050000 0.025000 0.050000,0.400000 0.200000 0.400000,0.750000 0.375000 0.750000,1.100000 0.550000 1.100000,1.450000 0.725000 1.450000,1.800000 0.900000 1.800000,2.150000 1.075000 2.150000,2.500000 1.250000 2.500000,2.850000 1.425000 2.850000,3.350000 1.675000 3.350000,
